agentType,won,score,avgDecisionTime,epsilon,rolloutDepth,Cp
Guided,False,18,0.2046,0.1,3,0.5
Guided,False,18,0.205,0.1,3,0.5
Vanilla,False,18,0.2041,0.1,3,0.5
Vanilla,False,18,0.204,0.1,3,0.5
